image,questions,Groundtruth_answers
datasett/datasetUML1.png,Which classes are present in the diagram?,"['User', 'Employee', 'Passenger', 'Airline Enquiry', 'Airline', 'Role', 'Permission', 'Reservation']"
datasett/datasetUML1.png,How many entities are defined in the diagram?,8
datasett/datasetUML1.png,What attributes are present in the 'Reservation' entity?,"The 'Reservation' entity has the following attributes: reservation_id (integer, a unique identifier), reservation_description (string, describes the reservation), reservation_type (string, specifies the type), reservation_date (date, stores the reservation date), and reservation_password_id (integer, a secure password reference)."
datasett/datasetUML1.png,What is the cardinality relationship between the 'User' and 'Employee' entities?,"The cardinality between 'User' and 'Employee' is 1-to-many, meaning a single User can have multiple Employees associated, but each Employee is tied to only one User."
datasett/datasetUML1.png,Which entity handles 'airline inquiries'?,"The entity that specifically manages 'airline inquiries' is the 'Airline Enquiry' class, which contains attributes such as airline enquiry_id, airline enquiry_type, title, description, and date. It also includes methods for adding, editing, deleting, and searching inquiries."
datasett/datasetUML2.png,Which classes are shown in the diagram?,"['ATM', 'Bank', 'Customer', 'Saving Account', 'Checking Account', 'Debit Card', 'ATM Transaction']"
datasett/datasetUML2.png,What are the private methods of the 'ATM' class?,Not explicitly shown in the diagram; details regarding private methods are absent.
datasett/datasetUML2.png,What is the cardinality relationship between the 'Customer' and 'Account' entities?,"The cardinality is 1-to-many: a single Customer can be associated with multiple Accounts, but each Account is tied to a single Customer."
datasett/datasetUML2.png,What attributes are defined in the 'ATM Transaction' entity?,"The 'ATM Transaction' entity has attributes like transaction_id (a unique identifier for the transaction), date (the date of the transaction), type (withdrawal, deposit, etc.), and amount (the monetary value involved)."
datasett/datasetUML2.png,"What parameters must be passed to the method that processes ATM transactions, and what are their data types?","{'account_number': 'int', 'amount': 'float'}"
datasett/datasetUML3.png,List all the classes present in the diagram.,"['Bank', 'ATM', 'Customer', 'Saving Account', 'Checking Account', 'ATM Transactions']"
datasett/datasetUML3.png,How are the 'Customer' and 'Account' classes connected (directly or indirectly)?,"The connection between 'Customer' and 'Account' classes is direct, through an association where each Customer owns one or more Accounts."
datasett/datasetUML3.png,What attributes are shared between the 'ATM' and 'Bank' entities?,There are no explicitly shared attributes between the 'ATM' and 'Bank' entities in the diagram.
datasett/datasetUML3.png,Which intermediate class establishes an indirect connection between the 'ATM' and 'Debit Card' entities?,"The 'Customer' class serves as an intermediary, linking the 'ATM' and 'Debit Card' entities through ownership relationships."
datasett/datasetUML3.png,What are the public methods of the 'Bank' class?,['getAccounts']
datasett/datasetUML4.png,Which classes represent car components in the diagram?,"['Engine', 'Suspension', 'Wheel', 'Tire', 'Gear Box', 'Brake']"
